AGEB KEY,POPULATION,Population from zero to 14 years,Population aged 18 to 24 that attends school,Population of 18 years and over with post-basic education,Economically active population,Population entitled to health services,IMSS entitled population,ISSSTE entitled population,Population entitled by Seguro Popular,Married or united population of 12 years and over,Population in census households,Total homes,Inhabited private homes that have internet,Inhabited private homes that have a cell phone,Inhabited private homes that have a computer,Inhabited private homes that have a car or truck,Inhabited private homes that have a washing machine,Inhabited private homes that have a refrigerator,Inhabited private homes that have a television,"Inhabited private homes that have electricity, piped water from the public network and drainage",Inhabited private homes that have electric light,Private dwellings inhabited with a floor made of different material than earth,Occupants in inhabited private homes
2200143897036,67,30,*,15,29,63,63,0,0,34,67,24,3,18,5,8,16,17,18,18,18,18,67
2200143897037,21,7,*,7,11,20,20,0,0,12,21,8,*,6,*,3,6,6,6,6,6,6,21
2200143897038,27,7,0,12,17,20,17,0,*,16,27,16,*,8,*,7,8,10,10,10,10,10,27
2200143897039,31,11,*,15,13,23,22,*,0,16,31,20,4,10,3,5,9,11,11,11,11,11,31
2200143897040,25,4,*,10,13,21,17,4,0,13,22,13,*,8,5,3,7,8,8,8,8,8,22
2200143897041,9,0,0,7,8,7,7,0,0,9,9,16,*,5,3,4,5,5,5,5,5,5,9
2200143897042,20,8,0,6,8,18,18,0,0,11,20,9,*,5,*,*,4,5,5,5,5,5,20
220014390A000,2013,715,28,476,963,1704,1509,27,164,912,1992,959,20,580,97,209,384,562,619,627,634,626,1992
220014390A001,34,12,0,4,17,24,23,*,0,16,31,12,3,8,*,*,6,9,9,9,9,9,31
220014390A002,30,11,0,9,16,28,27,0,*,15,30,16,0,9,0,3,9,9,10,10,10,10,30
220014390A003,35,16,*,7,13,35,32,0,3,12,35,20,0,8,3,3,7,10,10,10,10,10,35
220014390A004,91,28,0,18,45,74,62,0,11,49,91,44,0,24,4,10,16,26,26,27,27,27,91
220014390A005,25,11,0,4,9,21,18,0,3,8,25,12,0,9,*,0,3,6,9,9,9,9,25
220014390A006,41,17,0,10,18,41,36,0,5,19,41,14,0,11,*,*,7,10,11,11,11,11,41
220014390A007,79,25,*,16,38,70,61,0,9,30,79,31,*,22,7,8,16,22,22,21,23,22,79
220014390A008,42,17,0,10,17,30,23,0,7,15,42,16,*,11,*,3,6,12,12,12,12,12,42
220014390A009,46,13,0,12,23,39,34,*,4,24,46,16,0,13,*,6,6,13,14,14,14,13,46
220014390A010,70,26,*,16,33,67,51,3,13,32,70,32,0,22,*,7,12,20,22,23,23,22,70
220014390A011,71,25,*,10,33,66,62,0,4,32,71,32,0,21,*,6,10,21,23,24,24,24,71
220014390A012,69,24,*,13,34,66,62,0,4,28,69,32,0,20,0,3,15,18,20,22,22,21,69
220014390A013,35,15,0,7,14,33,26,0,7,12,35,16,0,8,*,*,7,8,9,9,9,9,35
220014390A014,39,15,*,6,18,32,30,0,*,19,39,16,0,11,*,*,6,11,12,12,12,11,39
220014390A015,60,20,0,17,34,47,45,*,*,24,60,34,*,20,*,6,14,19,20,20,20,20,60
220014390A016,75,30,*,19,33,64,57,3,4,34,75,32,3,22,5,9,13,21,25,25,25,25,75
